artista,id_artista,perfil,seguidores,popularidade,generos,imagem
Tom Zé,1gIa65d5ICT2xVWiUJ3u27,https://open.spotify.com/artist/1gIa65d5ICT2xVWiUJ3u27,237772,43,"['bossa nova', 'brazilian indie', 'mpb', 'nova mpb', 'rock baiano', 'samba', 'tropicalia', 'velha guarda']",https://i.scdn.co/image/03d250f957eb557725bf2c1c7e5e0ccc7b8192eb
Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ,https://open.spotify.com/artist/7HGNYPmbDrMkylWqeFCOIQ,1857779,64,"['bossa nova', 'mpb', 'samba de roda', 'tropicalia']",https://i.scdn.co/image/ab6761610000e5ebe98de50f36cf1aa4bf047757
Jorge Ben Jor,5JYtpnUKxAzXfHEYpOeeit,https://open.spotify.com/artist/5JYtpnUKxAzXfHEYpOeeit,738888,60,"['bossa nova', 'manguebeat', 'mpb', 'samba', 'samba-rock', 'tropicalia']",https://i.scdn.co/image/a9c6a324c5f4a0f25bc711a7c4434c89c05ceba2
Luiz Melodia,1zZjt7cDeeJSLWZYK34r7W,https://open.spotify.com/artist/1zZjt7cDeeJSLWZYK34r7W,381099,48,"['bossa nova', 'mpb', 'pagode', 'samba', 'velha guarda']",https://i.scdn.co/image/ab6761610000e5ebe59a96a5271174056e9e2a55
Novos Baianos,2ohBjgFT9V0LRDWO2wF9DJ,https://open.spotify.com/artist/2ohBjgFT9V0LRDWO2wF9DJ,385068,50,"['bossa nova', 'brazilian indie', 'mpb', 'psicodelia brasileira', 'samba', 'samba-rock', 'tropicalia']",https://i.scdn.co/image/ab6761610000e5eb6f2aa6bffd27b505bc2e5b8c
Gal Costa,1b8kpp4DUwt1hWaxTiWQhD,https://open.spotify.com/artist/1b8kpp4DUwt1hWaxTiWQhD,550870,57,"['bossa nova', 'mpb', 'samba', 'tropicalia']",https://i.scdn.co/image/ab6761610000e5eb706bb8bbf9d721d8141ba358
João Bosco,3DF0ClNOUuvS3gh8V8sRJH,https://open.spotify.com/artist/3DF0ClNOUuvS3gh8V8sRJH,300867,46,"['bossa nova', 'choro', 'mpb', 'pagode', 'samba', 'velha guarda', 'violao']",https://i.scdn.co/image/ab6761610000e5ebe700714015500c6eb76fc63d
Moraes Moreira,1M507Np8dZ2dprrHC5aHsm,https://open.spotify.com/artist/1M507Np8dZ2dprrHC5aHsm,216170,40,"['bossa nova', 'brazilian indie', 'choro', 'mpb', 'nova mpb', 'pop nacional antigas', 'samba', 'velha guarda']",https://i.scdn.co/image/ab67616d0000b273d68cf46efe9eb9a14258bc76
Elza Soares,4cn4gMq0KXORHeYA45PcBi,https://open.spotify.com/artist/4cn4gMq0KXORHeYA45PcBi,334656,49,"['bossa nova', 'mpb', 'nova mpb', 'pagode', 'samba', 'velha guarda']",https://i.scdn.co/image/ab6761610000e5ebfcc5c1e7a9eb863672957b80
Paulinho Da Viola,0t2xdTxRXnffsmpMamH8Ls,https://open.spotify.com/artist/0t2xdTxRXnffsmpMamH8Ls,308674,48,"['bossa nova', 'choro', 'mpb', 'pagode', 'samba', 'velha guarda', 'violao']",https://i.scdn.co/image/ab6761610000e5eb4a115e8bfaa803b6d6a65955
