Ano de publicação,Estatística,Quantidade
2007,Comentários,120
2008,Comentários,1842
2009,Comentários,4300
2010,Comentários,1582
2011,Comentários,4152
2012,Comentários,1835
2013,Comentários,68
2014,Comentários,1643
2015,Comentários,2056
2016,Comentários,2000
2017,Comentários,1236
2018,Comentários,2657
2019,Comentários,1870
2020,Comentários,14502
2021,Comentários,3995
2022,Comentários,349
2007,Likes,1939
2008,Likes,27867
2009,Likes,88871
2010,Likes,39689
2011,Likes,140207
2012,Likes,47981
2013,Likes,1851
2014,Likes,41630
2015,Likes,91016
2016,Likes,73736
2017,Likes,35868
2018,Likes,54130
2019,Likes,32763
2020,Likes,385728
2021,Likes,72101
2022,Likes,5879
2007,Visualizações,595534
2008,Visualizações,5812411
2009,Visualizações,10436833
2010,Visualizações,2928485
2011,Visualizações,15721420
2012,Visualizações,7975188
2013,Visualizações,313929
2014,Visualizações,3553445
2015,Visualizações,8293283
2016,Visualizações,7199179
2017,Visualizações,2344988
2018,Visualizações,1974678
2019,Visualizações,1979522
2020,Visualizações,10132210
2021,Visualizações,1749633
2022,Visualizações,78366
