palavras,repetições
pra,647
amor,411
ser,248
dia,247
vai,235
ê,227
tudo,227
bem,225
,225
mundo,224
vou,210
coração,195
ô,192
vida,188
lá,187
vem,184
tão,180
todo,166
assim,161
agora,160
mar,158
tempo,156
ver,153
sempre,152
mim,150
onde,148
samba,140
quero,138
céu,134
deus,132
aqui,131
sol,121
pode,116
bom,115
quer,113
ainda,111
pro,110
faz,110
porque,109
nada,108
sabe,106
noite,101
toda,99
dá,98
coisa,98
luz,91
viver,90
a gente,89
todos,89
terra,88
fé,87
dor,86
menina,83
lugar,82
saber,79
fim,77
pai,73
fazer,72
chão,71
sonho,71
nunca,70
logo,70
tanto,70
ah,70
cantar,68
saudade,68
dar,68
povo,66
medo,66
pé,65
cidade,64
mãe,63
add9,62
outro,62
dança,61
hora,60
água,60
love,60
melhor,60
joão,59
sim,59
bahia,56
gente,56
brasil,55
casa,55
paz,55
ninguém,54
corpo,54
mal,53
hoje,53
sertão,53
novo,53
maria,52
vez,52
macumba,52
mão,51
morena,51
canto,51
grude,50
flor,50
som,50
longe,49
rua,48
banda,48
nome,48
rosa,47
jeito,47
menino,47
poder,46
azul,46
cor,46
verde,45
feliz,45
morrer,45
chuva,44
boi,44
canção,44
voz,43
rio,43
chegar,43
vento,42
rei,42
lua,42
ar,41
olhar,41
vamos,41
fica,41
nova,40
alegria,40
olha,40
fogo,40
viva,40
time,39
quanto,39
mulher,39
vão,39
carnaval,39
homem,39
manhã,39
meio,39
bate,38
falar,38
morte,38
alma,37
luar,37
lick,37
triste,37
deve,37
estrela,37
dois,37
festa,37
amar,37
tô,36
paixão,36
gosto,36
vi,36
chorar,36
beleza,35
alto,35
poeta,35
porta,35
im,35
fez,35
três,34
posso,34
easy,34
could,34
quis,34
deu,34
realce,33
volta,33
embora,33
canta,33
apenas,33
olhos,33
preciso,33
peito,33
solidão,33
ir,32
sai,32
filho,32
got,32
santo,32
ficou,31
cantando,31
vivo,31
cara,31
negro,31
sonhar,31
ilusão,31
caminho,30
ti,30
atrás,30
parte,30
senhor,30
traz,30
ano,30
mil,30
veio,30
oi,30
santa,30
fico,30
dessa,30
zoo,29
fundo,29
dorival,29
além,29
viu,29
antes,29
acabar,29
quiser,29
diferente,29
sofrer,29
xangô,29
baby,29
linda,29
esperança,28
prazer,28
beira,28
primeiro,28
chororô,28
atenção,28
know,28
come,28
leve,27
milho,27
muita,27
velho,27
verdade,27
baião,27
querer,27
ciência,27
perto,27
certo,27
história,27
arte,27
igual,27
forte,26
frente,26
talvez,26
felicidade,26
vim,26
dançar,26
mesma,26
calor,26
pensa,26
guerra,26
rapaz,26
desse,26
bonitinha,26
cabeça,26
rainha,26
jesus,25
doce,25
braços,25
existe,25
ali,25
mãos,25
sair,25
amanhã,25
anos,25
baixo,25
veja,24
sangue,24
estrada,24
queria,24
encontrar,24
ok,24
olho,24
deixar,24
vive,24
choro,24
oxum,24
vinte,24
têtêretê,24
estar,24
razão,24
demais,24
moça,24
voltar,24
funk,24
quente,24
vejo,24
made,24
want,24
pobre,24
parar,23
pedra,23
