palavras,repetições
amor,411
dia,247
mundo,224
coração,195
vida,188
mar,158
tempo,156
ver,153
sempre,152
samba,140
quero,138
céu,134
deus,132
sol,121
quer,113
nada,108
noite,101
luz,91
viver,90
terra,88
fé,87
dor,86
menina,83
lugar,82
saber,79
fim,77
pai,73
fazer,72
chão,71
sonho,71
cantar,68
saudade,68
dar,68
povo,66
medo,66
pé,65
cidade,64
mãe,63
dança,61
hora,60
água,60
love,60
melhor,60
bahia,56
gente,56
brasil,55
casa,55
paz,55
ninguém,54
corpo,54
mal,53
hoje,53
sertão,53
novo,53
maria,52
vez,52
macumba,52
mão,51
morena,51
canto,51
grude,50
flor,50
som,50
longe,49
rua,48
banda,48
nome,48
rosa,47
jeito,47
menino,47
poder,46
azul,46
cor,46
verde,45
feliz,45
morrer,45
chuva,44
boi,44
canção,44
voz,43
rio,43
chegar,43
vento,42
rei,42
lua,42
ar,41
olhar,41
vamos,41
fica,41
nova,40
alegria,40
olha,40
fogo,40
viva,40
