artista,id_artista,album,id_album,lancamento,musica,id_musica,popularidade,preview_url,imagem,ano_lancamento
Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,"As canções de eu, tu, eles",5tPEQtkCVKj17B9RlxDIKC,2000-01-01,Esperando na janela,3zcBNmJH6ToRCI0WNEIuES,61,https://p.scdn.co/mp3-preview/336e9fd3080fd2e9b408d281e4573e0270ea2028?cid=543be7b2dda54704864fee78a3af9e06,https://i.scdn.co/image/ab67616d0000b273452e0fb204aa84bb56a28e94,2000
Zeca Pagodinho,3qZ2n5keOAat1SoF6bHwmb,"Sambabook Zeca Pagodinho, Vol. 2",1SYy6QlPiObmtHW2PqpZWu,2014-03-20,Camarão Que Dorme a Onda Leva,7lzfMZak2HjNPXXSxksjPB,59,https://p.scdn.co/mp3-preview/62fa405294020f37ff82d0a78b02f8768da26287?cid=543be7b2dda54704864fee78a3af9e06,https://i.scdn.co/image/ab67616d0000b273cc06ea8d1cafb78e34101df3,2014
Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,Um banda um,3eXCgCBM4BS6H83xmxKdL6,1982,Andar com fé,2BvDFQOl4JieEGK2cgKOey,57,https://p.scdn.co/mp3-preview/6cf554392b2df4b581eab55c0d795d7469035d1b?cid=543be7b2dda54704864fee78a3af9e06,https://i.scdn.co/image/ab67616d0000b273369d09bf4a3e24e2fb38e598,1982
Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,Realce,7dBoyhnlxf1DvmWxtgQPLr,1979-08-15,Toda Menina Baiana,0ENvhTTww1MVOulrzuxSmu,54,https://p.scdn.co/mp3-preview/fa0d8cb088326c5b4f5ffb5c77401af25ede9fe5?cid=543be7b2dda54704864fee78a3af9e06,https://i.scdn.co/image/ab67616d0000b273e0a1e9e985f9b3a12c95250f,1979
Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,Gilbertos Samba,4CzqCaWsFEzNWWugq0EfUV,2014-01-31,Aos Pés da Cruz,1G3tT3xLodVLyZV7MQDXin,53,https://p.scdn.co/mp3-preview/4a660cde505324df261dfe0f2851b567c8b596b1?cid=543be7b2dda54704864fee78a3af9e06,https://i.scdn.co/image/ab67616d0000b273f7254ef6041fe9fb27ae5575,2014
Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,Luar,3qoUU8sm4eBT5POFHQSl5L,1981,Palco,2wL88cvKXUOfHuYVd62hji,52,https://p.scdn.co/mp3-preview/d15b78f91bf1e8f66b1b6809eb0f6cbcb2943cf5?cid=543be7b2dda54704864fee78a3af9e06,https://i.scdn.co/image/ab67616d0000b27349870a67f8f6838e1d20fc61,1981
Emicida,2d9LRvQJnAXRijqIJDDs2K,É tudo pra ontem,0ucGkC2GM4IBycOIAw9eBj,2020-12-10,É tudo pra ontem,48QajhR9A10V7uM2UbIWxO,23,https://p.scdn.co/mp3-preview/a054ca225696af4c7b1f5ab1fae4e342d2e1c26c?cid=543be7b2dda54704864fee78a3af9e06,https://i.scdn.co/image/ab67616d0000b273628e3d32329d962019e154e1,2020
Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,Gilberto Gil (1969),53eqd316Rs3te41yGRovYz,1969-01-01,Aquele Abraço,7CjSjWTdVPD0ov82Qz55Xb,51,https://p.scdn.co/mp3-preview/5acedc0c6ba86b5a798205df9829005c7797c7e8?cid=543be7b2dda54704864fee78a3af9e06,https://i.scdn.co/image/ab67616d0000b273736a08e23f212a2fea618eaa,1969
Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,Unplugged (Ao vivo),525oSOShPTFiuHE1DIZttf,1994-01-01,A paz - Ao vivo,5jKg6K5LjLH4RkVpxXqO6W,50,https://p.scdn.co/mp3-preview/18f00e1265e9c9b67a73f4ba23cc9ad7a52fb6e8?cid=543be7b2dda54704864fee78a3af9e06,https://i.scdn.co/image/ab67616d0000b2734fb42a9816a0a3ef8710b82d,1994
Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ,Clássicos da Bossa Nova,2bq54CQ4KAtXnsvaSOeOQk,2020-03-20,Desde Que O Samba É Samba,021Ser4na0UMv7eMZFt9NI,38,,https://i.scdn.co/image/ab67616d0000b27333cb3abbb1f3e382bbd48c9d,2020
