Colocação,Vídeo,id_video,Assista,Estatística,Quantidade
1,GILBERTO GIL E AMIGOS - ANDAR COM FÉ | GIL 78 ANOS,DK06zbkZ18w,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/DK06zbkZ18w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,78524
2,LIVE | GIL E IZA | As Canções de Gilberto Gil,mR1aATQK6Xg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/mR1aATQK6Xg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,67695
3,LIVE | SÃO JOÃO EM ARARAS AO VIVO | Gilberto Gil e Família,s6KB4dDmrcw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/s6KB4dDmrcw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,66128
4,"Gilberto Gil - Respeita Januário, Xote das meninas, Eu só quero um xodó - Fé na Festa Ao Vivo (2010)",SoybVzCw-rc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SoybVzCw-rc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,63557
5,"Caetano Veloso, Gilberto Gil - Andar com Fé (Vídeo Ao Vivo)",MxPsWzSh6Lg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/MxPsWzSh6Lg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,40873
6,Toquinho & Gilberto Gil - Tarde em Itapoã,CLOqNeCps20,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/CLOqNeCps20"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,34878
7,Gilberto Gil - Lamento sertanejo - DVD Fé na Festa ao vivo (2010),-7m3t6vbuDw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/-7m3t6vbuDw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,29154
8,Caetano Veloso - Terra,wAmtLN4PlLU,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/wAmtLN4PlLU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,25495
9,GILSONS e FLOR GIL | ANDAR COM FÉ [Hering - Campanha de Natal 2020],j6G4oDCUjJs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/j6G4oDCUjJs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,23523
10,GILBERTO E FLOR GIL | Norte da Saudade [Goodbye My Girl] | De Avô Para Neta,5CtGKbw0VNQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5CtGKbw0VNQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Likes,23215
1,"Gilberto Gil - Respeita Januário, Xote das meninas, Eu só quero um xodó - Fé na Festa Ao Vivo (2010)",SoybVzCw-rc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SoybVzCw-rc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Visualizações,6061680
2,Toquinho & Gilberto Gil - Tarde em Itapoã,CLOqNeCps20,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/CLOqNeCps20"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Visualizações,4487789
3,Caetano Veloso - Terra,wAmtLN4PlLU,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/wAmtLN4PlLU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Visualizações,4169895
4,"Caetano Veloso, Gilberto Gil - Andar com Fé (Vídeo Ao Vivo)",MxPsWzSh6Lg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/MxPsWzSh6Lg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Visualizações,3413533
