Nome da música,Id da música,Características,Valores
Fé na Festa (Ao Vivo),5vc9wRbfYexKq2ZvMeUQCY,Acústica,0.756
Dança da Moda (Ao Vivo),6eHR7l1RvNaMsza6fd78NR,Acústica,0.753
Óia Eu Aqui de Novo (Ao Vivo),54OYZkcIC8zG009c1ihbL7,Acústica,0.822
Assim Sim (Ao Vivo),7LTpBVvDh0At0upSfXKbIg,Acústica,0.747
Respeita Januário (Ao Vivo),7hYcqwMhjXceH7tG32hnNa,Acústica,0.779
O Xote das Meninas (Ao Vivo),53F0M4x1yWqtUAWIgPgUEE,Acústica,0.764
Conversa Gil e Preta Gil (Ao Vivo),0TDA90fJH2IUu8JA48LUzv,Acústica,0.613
Eu Só Quero um Xodó (Ao Vivo),27nQFfM9pBYjNda9PAefUR,Acústica,0.719
Asa Branca (Ao Vivo),3y4Z4vb5aAx9fAzc0ASclc,Acústica,0.826
A Volta da Asa Branca (Ao Vivo),2c7XspxaUl33qP5n02ECLd,Acústica,0.851
São João Xangô Menino (Ao Vivo),5IggFPsyOyeWpBZ3EnRQZw,Acústica,0.825
Esperando na Janela (Ao Vivo),5HwZDDNlSGkL8w0vqUxFy3,Acústica,0.822
Qui Nem Jiló (Ao Vivo),5ZL1JsQPQmxE1k5UaBOibN,Acústica,0.728
Pedras Que Cantam (Ao Vivo),163cndEuB7HoHwNeiXGJpI,Acústica,0.854
Conversa Gil e Mestrinho (Ao Vivo),3d6BrED2o9Htb0IKkgFWng,Acústica,0.782
Isso Aqui Tá Bom Demais (Ao Vivo),22mmuG2NHPt2Bf2lp7N3hL,Acústica,0.773
Toda Menina Baiana (Ao Vivo),6PkdagVcKGqtm7lu1uJpnF,Acústica,0.83
Olha Pro Céu (Ao Vivo),167clrR7UnkYxKIf6KsBas,Acústica,0.799
Is This Love (Ao Vivo),1LzC6ekUsrI94qwaixITKp,Acústica,0.241
Nos Barracos da Cidade (Ao Vivo),7BZ9I7xfsWEimOqUpmODRE,Acústica,0.368
Extra (Ao Vivo),6Ll12D9eMng37CT5eqXSl1,Acústica,0.188
Pessoa Nefasta (Ao Vivo),1H4jmMzpZZECXiV52pUjlw,Acústica,0.165
Sarará Miolo (Ao Vivo),5iUu4HyvCeseFw3zAMQFtD,Acústica,0.462
Emoriô / Dia da Caça (Ao Vivo),0IwdotkOJ2m9jkJiy8Rzox,Acústica,0.578
Água (Ao Vivo),5p3WL6TdAUARp0tdX4k7Bl,Acústica,0.476
Intro Choro N.1,3zz6iHe7eQX0A0WnDlSYDZ,Acústica,0.0223
Choro N. 1,4QbV4QvVSCoffeElKT1VI7,Acústica,0.421
Improviso Choro N. 1,2ULc3auz1a5tCr8pPuj0r0,Acústica,0.609
Intro Seraphimu,1PrihbMRgUhOTsAmRjWZX1,Acústica,0.892
Seraphimu,21vI5N5YaqB9olpiXURe8K,Acústica,0.508
Improviso Seraphimu,3zrasTvwmBWhCzvSVLWI33,Acústica,0.216
Solo Balafon,5oT90dnLdk5G3lexD312nn,Acústica,0.978
Intro Fragmento LÍrico,1TG70dUe7IkOI21zq8KOmp,Acústica,0.209
Fragmento LÍrico,767D9NBhx1T4wufDjikehn,Acústica,0.949
Improviso Fragmento LÍrico,5zc073VzUVeLGeOutPE94Q,Acústica,0.34
Circulo,2L6iqG0eiRfOT3lUDmDNZG,Acústica,0.821
Triangulo,6pDhuSf04PmjQNiCRrd5VW,Acústica,0.887
Quadrado,4U8DttsUsQWAlLCEDrwtxp,Acústica,0.0139
Retangulo,1nNDOdrPbzrkf219GfO2qH,Acústica,0.837
Pentagono,79VQd9NLEwLI66XlgZNwzR,Acústica,0.303
GIL,1ClAHGcOBX4jRmN33HJft7,Acústica,0.986
Ok Ok Ok,469XdQJ1txFnvRPFrDQmrl,Acústica,0.903
Na Real,6TWcyYe3KbroZl0q8OJels,Acústica,0.446
Sereno,3QUV5CdXziZPMrMgizJQlz,Acústica,0.437
Uma Coisa Bonitinha,3YlABrQbOMayiSpsQESVSv,Acústica,0.684
Quatro Pedacinhos,0pskyKfYxczntMzixTBpS9,Acústica,0.869
Ouço,2DbiGFAnsgg7PPDPFjZkMT,Acústica,0.304
Lia e Deia,1Cuf5Och6CYqSh6fIs7966,Acústica,0.832
Jacintho,3pjFzaGQjvxrosoiVCWSv2,Acústica,0.872
Yamandu,4vVwHXm85qpc9IbqsE42sO,Acústica,0.582
Tartaruguê,4dRTbMQYMGpDiJm1eL73Kf,Acústica,0.46
Sol de Maria,2dmqaJZ4pVtazEoPtApjRO,Acústica,0.672
Prece,2OsNNBBjVsm0uoPvAtt8bp,Acústica,0.938
Afogamento (Bonus Track),3hfnPXWabmqNaOMwQyCcXf,Acústica,0.918
Kalil (Bonus Track),13Pk5wAJD3zunHOOmaUpSD,Acústica,0.611
Pela Internet 2 (Bonus Track),1IrunTcR3ddX2ZM4PO7L9S,Acústica,0.0117
Na Real (Acoustic),1Oq1yq3xd6JQbVLXFPauRv,Acústica,0.916
Sereno (Acoustic),36tAgttHvYNIwzoLiqqi2D,Acústica,0.933
Uma Coisa Bonitinha (Acoustic),0twDred8ifq5CLvUb11Xfu,Acústica,0.943
Ouço (Acoustic),3LCJgTkJIDOV4LItaN9keW,Acústica,0.941
Ok Ok Ok (Acoustic),6bldw5qq41w95NzDRAM51u,Acústica,0.908
OK OK OK,5NzlwzBgl1v4MU8fvuimnD,Acústica,0.903
Afogamento - Bonus Track,3Jl8zs4lZa0uG0q8m4Ar0I,Acústica,0.918
Kalil - Bonus Track,1KT4IDWwMNqDflL93yABAg,Acústica,0.611
Pela Internet 2 - Bonus Track,3lRndkaQyNhn8ZtZLcNhWv,Acústica,0.0116
Trinca de Ases (Ao Vivo),0CpIVOnfJTu99vr0uQARPD,Acústica,0.177
Dupla de Ás (Ao Vivo),5oiFSHnujptIKR354EVryl,Acústica,0.36
Palco (Ao Vivo),59CqzEU9ZLfE5VmBiLl88z,Acústica,0.405
Baby (Ao Vivo),2SLbEbRML8KwAGHBXB27Ub,Acústica,0.568
All Star (Ao Vivo),6llXMFbX0Dm5yXDFdCjJA4,Acústica,0.264
Espatódea (Ao Vivo),02cYTWgrdJyNkfjCptaVRp,Acústica,0.5
O Seu Lado de Cá (Ao Vivo),0gZ8EjjX2wDNX2rozJMrxc,Acústica,0.383
Esotérico (Ao Vivo),2zMv7Ggwg8pCs0TwYLYKVp,Acústica,0.584
Cores Vivas (Ao Vivo),6ua1WOV08kDOchJvPpWSgd,Acústica,0.371
Água Viva (Ao Vivo),3EuLzcWgtVdnZzHJdeF8J6,Acústica,0.185
Retiros Espirituais (Ao Vivo),3L0ywhZCRSbPdnvc6sH9Oy,Acústica,0.692
Copo Vazio (Ao Vivo),2yregxu9FyVEZJEp3vL3cd,Acústica,0.886
"Meu Amigo, Meu Herói (Ao Vivo)",7g0Trzw2tjtbzLHOJCGrvC,Acústica,0.927
Relicário (Ao Vivo),62mTTZEhX1rwnWkbqRrYh3,Acústica,0.558
Pérola Negra (Ao Vivo),4X1p8pR8UKGqrFdOMpE9nO,Acústica,0.548
Refavela (Ao Vivo),5gwN9eT8fAD6RXolWkuV30,Acústica,0.618
Ela (Ao Vivo),1IF59n2Sl1diihM2LQhwd3,Acústica,0.295
Tocarte (Ao Vivo),31nKcTGDjfubHmx3motui7,Acústica,0.574
Dois Rios (Ao Vivo),6EaLFbYh8OrUCqeKUDrl3s,Acústica,0.484
Nada Mais (Lately) [Ao Vivo],62MBkoN95QH0jqoGw5FvOC,Acústica,0.777
Por Onde Andei (Ao Vivo),3LESkgqwUPamdbCmCBCo1j,Acústica,0.136
O Segundo Sol (Ao Vivo),5SO1VWdMNrC5ol9GTwAzgJ,Acústica,0.264
A Gente Precisa Ver o Luar (Ao Vivo),2X1BX599GooUmcIyMyZfFS,Acústica,0.346
Barato Total (Ao Vivo),5OJ26sotimSxBKkkC2ik5Y,Acústica,0.584
Back in Bahia - Ao vivo,42XOOCltwfAiy8AdUHA4MT,Acústica,0.867
